hidden,lr,dropout,l2,auc,round
162,0.007502713534237719,0.19164030374129376,0.00878745253095483,0.6552473891174371,2
46,0.001615283334725642,0.2673581262363394,0.0007160690136758984,0.6224620488465078,2
106,0.008116106497829024,0.1200744064986845,0.0038355339983437704,0.7260804370520444,2
110,0.00866148743692467,0.10474440756649034,0.003409074423183616,0.7250751183201225,2
90,0.004015048005730652,0.14763432499634088,0.006326353601943712,0.691470305466039,2
120,0.001382734762171604,0.20136419542254325,0.0005700128994065615,0.6382527821217986,2
166,0.004883869609782027,0.3074664042386561,0.003303262148461581,0.7048733448593155,2
109,0.0018474707198107155,0.4063666850147758,0.009582791439731276,0.6623373536729784,2
81,0.002947244344214988,0.4338208347838963,0.008020090488834985,0.6825501854747866,2
49,0.007580275209378789,0.12950072191853473,0.006196713744356562,0.7237641272369415,2
149,0.00983958755263087,0.3054860822610717,0.00040124289121670564,0.7089799505675652,2
81,0.0010212621210587422,0.17701701130966213,0.0005593335435266144,0.6443054907964068,2
197,0.002813596865233641,0.20540035604120843,0.006905311000884083,0.6819944625770061,2
193,0.0017433217219363798,0.4681504690763948,0.0020816867610272765,0.6787757426212394,2
80,0.007461473564057959,0.277996631606938,0.00700233609181665,0.6267804135324385,2
144,0.004851326727535237,0.1736350343771941,0.004176259749869429,0.7080120981551552,2
183,0.00518828189340853,0.3563499183998212,0.00037260468058284183,0.7150745819080591,2
139,0.0015658605243929812,0.47819312663243163,0.007467579489451337,0.6495164451559927,2
54,0.007838142244893233,0.2945605999380313,0.006198644075838644,0.7076501437996955,2
86,0.009776602853259306,0.3204993481853591,0.007622636774006392,0.7287271766982599,2
71,0.005159209140917998,0.3506613268450345,0.004309792336060777,0.7086184913617027,2
158,0.003372960364979493,0.2538273871943979,0.004455914006524192,0.6841681693081522,2
172,0.0066236481935431114,0.14648444208517086,0.001241699735151989,0.7159610647366835,2
140,0.0016553393364256066,0.11507535443992373,0.003038324634925842,0.6683919604210422,2
194,0.0001,0.3662385319762628,1e-05,0.472620125355373,2
130,0.006508457408695539,0.4394674084769516,0.005614651575190428,0.7085037817050477,2
51,0.00899180480443561,0.37837270749728175,0.00929982187938693,0.716640079884135,2
64,0.009003437604368881,0.5,0.007703683801976443,0.7227435413924432,2
136,0.00989407031936857,0.13073106596437253,0.01,0.7288107744552322,2
110,0.006516143486784373,0.2531128000036489,0.0070921530658174135,0.7076696196838469,2
36,0.0020707832188800904,0.1934003986108807,1e-05,0.6160062058749499,2
145,0.003838987861375072,0.37547722875069395,0.01,0.6996654439222451,2
168,0.0033014744658296747,0.5,0.007690578609631186,0.699005987183878,2
142,0.005983986320418833,0.21015525234373092,0.009322005246702382,0.7144127319466393,2
87,0.01,0.1667246267320971,0.006077966490424974,0.7184760945900779,2
123,0.002707833623497242,0.3912895605620281,0.004861403561611202,0.6890407714430723,2
164,0.0028776461436648224,0.2186181819802126,0.004138369347596811,0.6849892923899633,2
20,0.01,0.2056959378487545,0.00599439357088995,0.70483257754249,2
68,0.01,0.3530863611321932,0.007285896321866747,0.7202479874232002,2
97,0.009147578891792567,0.30395647735294834,0.00815535599935235,0.7223805967377894,2
158,0.004422064643148784,0.25160716004535055,0.006513842088989172,0.6335328511126423,2
165,0.006328181358817006,0.15928235873420896,0.0037937110718973223,0.7089644358801903,2
148,0.001710749799989161,0.11259448947143508,0.003097096770804989,0.6523399532083631,2
185,0.004269917719551183,0.3438478001090689,1e-05,0.7061151800487722,2
112,0.008147910026914885,0.3622187562920256,0.008725949470100889,0.7159493461962195,2
24,0.01,0.28738255688505104,0.009227578300027024,0.7147114722035395,2
68,0.01,0.4301663939804232,0.007900839298212134,0.7207496564899669,2
180,0.01,0.13134623798729145,0.01,0.7011763103927774,2
112,0.007030957427353446,0.24706833145152252,0.00896197406240114,0.6211456936426919,2
32,0.005787000208803319,0.1917144227908812,0.003676575100191629,0.6988326022999699,2
115,0.004419946804504296,0.4413715250320651,0.01,0.6674770890155188,2
151,0.004770103258110538,0.4609008303656119,0.01,0.6975517328172774,2
170,0.005431232767336734,0.14965023502004526,0.01,0.7024203737554209,2
61,0.01,0.15795752188383275,0.00785821520347509,0.7202246328672051,2
116,0.002597133228627018,0.39943221615659763,0.006890516867116201,0.629337613626517,2
163,0.0041593572966822,0.1,0.004665655165201353,0.6931477897759861,2
20,0.01,0.15421046806382155,0.007428914799396322,0.6704178649974624,2
92,0.01,0.2882200877813621,0.008441047063375342,0.7225800595004765,2
127,0.01,0.2631432554294318,0.01,0.7249982876076435,2
150,0.008272967614315377,0.17857582840221903,0.008556922548825969,0.7205093438855213,2
135,0.007589694594606175,0.1271036439695037,0.00548336553423248,0.7297387673250781,2
133,0.00503304490579232,0.1271280490218027,0.004766161601573461,0.7005297275439342,2
160,0.007228550620190995,0.31722586931656443,0.002133237393670259,0.7055617678491113,2
107,0.008718202775896902,0.22270144603990136,0.01,0.7210841300427892,2
45,0.01,0.24748078783184155,0.008905654830417232,0.7232448803594786,2
93,0.01,0.40030835907590867,0.006835945149722848,0.7246566343856637,2
171,0.009504877235471948,0.13076992960528705,0.01,0.7018424516507049,2
122,0.00880353516785479,0.19632485209298872,0.006558885853241994,0.718526764898845,2
75,0.0078824864643429,0.1767280165100299,0.005884549845660253,0.7148156186687904,2
114,0.005462317605769509,0.43080396697374823,0.009731092750951053,0.6983398459259503,2
145,0.005291980187991988,0.4047776344916445,0.009888680134649308,0.6929244773077066,2
177,0.0052883096037843365,0.12370114778780611,0.008850676742028475,0.6957853691546558,2
83,0.01,0.14920031518747892,0.0083704060325632,0.7278225383844094,2
121,0.005368726964762856,0.34410750312541993,0.007431547991534027,0.7058456536180993,2
152,0.006344885708572364,0.1,0.005270924910485639,0.7038575454609225,2
74,0.009124686459824092,0.15813472756660657,0.007162579802065954,0.7241158485007282,2
117,0.009923509503092386,0.19863878856675943,0.008566033532293944,0.7285285391849012,2
144,0.01,0.17849033699059266,0.01,0.7237222870959888,2
127,0.009973954027673218,0.1,0.007405088848474134,0.7065798779456243,2
120,0.00822045121250076,0.11101428658715105,0.006328192765400059,0.7328844527152767,2
125,0.00692230382891692,0.1318125517183737,0.006190895504264802,0.7192376346703748,2
